"","word","freq"
"177","presbyterian",2.4482680643055e-06
"178","priest",3.54116347663491e-06
"179","priesthood",1.39179693501784e-07
"180","priests",5.93294580359201e-07
"181","prophecies",1.7538464776332e-06
"182","prophesied",1.12891273533908e-06
"183","prophesy",8.05423144150463e-06
"184","prophet",1.46631458026139e-06
"185","prophetess",3.7263808525192e-07
"186","prophets",5.36474326974206e-07
"187","protestant",2.27869153369141e-06
"188","proverb",4.84466309970571e-07
"189","psalm",3.35810283263316e-07
"190","psalmist",1.85076740944078e-07
"191","psalms",3.62104320009548e-07
"192","pulpit",5.65077144209799e-07
"193","pulpits",2.67618563908125e-07
"194","puritan",9.64004057718697e-07
"195","quaker",1.31442405143934e-06
"196","redeemer",1.66649533415218e-06
"197","redemption",1.08412119202129e-06
"198","repent",2.81850503399738e-05
"199","revelation",4.43442232543639e-06
"200","revelations",4.53415812221528e-06
"201","reverend",2.61707533439717e-06
"202","rites",4.4381568194708e-07
"203","sabbath",8.45970489789645e-07
"204","sacred",1.27146903727609e-05
"205","sacredness",4.41101964314915e-07
"206","sacrilegious",7.30667574886462e-07
"207","saint",1.05076893495605e-05
"208","saints",2.23714297753858e-06
"209","salvation",2.56485284901371e-06
"210","samaritan",2.67774070626472e-05
"211","sanctity",4.87177561103432e-06
"212","sanctuaries",1.99385723353721e-06
"213","satan",8.87874429872707e-07
"214","satanic",4.40878041329614e-06
"215","savior",2.41920559950842e-06
"216","scriptural",3.95191653642605e-07
"217","scripture",3.33753615235015e-06
"218","scriptures",4.97368593079217e-07
"219","sect",9.41822297400955e-07
"220","sectarianism",7.28104043748909e-07
"221","sects",1.4857355282565e-06
"222","seminarian",5.02206054230949e-07
"223","seminaries",8.66799301152948e-07
"224","seminary",1.8103189534965e-05
"225","sermon",7.04218027383842e-07
"226","serpent",6.29639260778322e-07
"227","sin",1.35636989156128e-05
"228","sinful",4.36085670599898e-07
"229","sinner",2.82844576040653e-06
"230","sins",9.41838208068598e-07
"231","soul",5.03479263880326e-06
"232","spiritual",2.18569127972821e-06
"233","spirituality",1.37393900441224e-06
"234","spiritually",7.31700791551355e-07
"235","spirituals",2.16419259965503e-06
"236","steeple",7.95690318699396e-07
"237","tabernacle",1.93769599576334e-06
"238","testaments",3.70273202292456e-07
"239","theocracy",1.5527057928531e-06
"240","theocratic",1.23314563754477e-06
"241","theologian",3.05548005654163e-07
"242","theological",5.40852541305082e-06
"243","theology",1.09970609665418e-06
"244","ungodly",3.17045412135484e-07
"245","unholy",4.7184101620234e-07
"246","vatican",1.25641858922071e-06
"247","vicar",9.28281192368946e-07
"248","vigil",1.17818906402647e-05
"249","vigils",6.62301255267221e-07
"250","worship",4.35360875108949e-06
