"","word","freq"
"1","allah",4.59777510093285e-07
"2","fundamentalist",3.61462761903693e-06
"3","imam",1.83750303230145e-06
"4","islam",2.73133788588263e-06
"5","koran",1.14990865793944e-06
"6","mecca",7.78798505053914e-07
"7","muhammed",9.43423586358375e-07
"8","muslim",8.99786611112946e-06
"9","prophet",1.46631458026139e-06
"10","quran",7.50123304867002e-07
"11","shia",4.54646700246506e-06
"12","shiite",3.60527103167577e-06
"13","sunni",6.52640978384175e-06
